time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/policy_gradient_loss,train/loss,resources/cpu_percent,resources/memory_mb
18,2589,10076160,20000.0,1,-203.18707733000002,,,,,,,,,,,,
37,2638,10125312,20000.0,2,-203.18707733000002,0.0007411309,-0.5157767459750175,47.6837739944458,0.0021767616271972656,8e-05,0.004053751627604167,0.2,820,-0.0004727398979108936,24.722116470336914,,
58,2508,10174464,20000.0,3,-203.18707733000002,0.002279781,-0.5098536924148599,294.78455634911853,-0.0034750699996948242,8e-05,0.004969278971354167,0.2,824,-0.0006902708482812159,24.80614471435547,2.1,15168.625
81,2402,10223616,20000.0,4,-203.18707733000002,0.0018709634,-0.5133731327950954,32.58567682902018,0.01791548728942871,8e-05,0.0030415852864583335,0.2,828,-0.00018051164806820452,16.059904098510742,,
106,2296,10272768,20000.0,5,-203.18707733000002,0.0010646031,-0.512380407191813,28.89392598470052,0.010901331901550293,8e-05,0.001861572265625,0.2,832,-0.00033640848293240805,13.184656143188477,3.6,11137.71484375
137,2147,10321920,20000.0,6,-203.18707733000002,0.0002092189,-0.5062128513430556,223.9940274556478,0.012654304504394531,8e-05,0.001220703125,0.2,836,-0.00040504684632954496,39.2559928894043,,
168,2038,10371072,20000.0,7,-203.18707733000002,0.0004342262,-0.5036584343761206,39.32476423184077,0.04867357015609741,8e-05,0.0017954508463541667,0.2,840,-0.0005872424529419126,19.575927734375,,
204,1921,10420224,20000.0,8,-203.18707733000002,0.0004772651,-0.5014747697860003,44.02887966235479,0.02900451421737671,8e-05,0.0014902750651041667,0.2,844,-0.000341406242417482,25.83193016052246,8.9,11597.796875
243,1818,10469376,20000.0,9,-203.18707733000002,0.0008358473,-0.5005842773243785,35.25215456883112,0.030702590942382812,8e-05,0.0019734700520833335,0.2,848,-0.0005171880911802873,18.97490119934082,,
278,1762,10518528,20000.0,10,-211.91848862999998,0.00033261804,-0.4852476300050815,58.07322736581167,0.04095643758773804,8e-05,0.0017751057942708333,0.2,852,-0.0002867057737603318,25.91498374938965,0.0,12304.52734375
291,1852,10567680,20000.0,11,-211.91848862999998,0.00023245595,-0.46349226000408333,234.35350048542023,-0.0025418996810913086,8e-05,0.0019022623697916667,0.2,856,7.142727796842034e-05,52.068241119384766,,
306,1921,10616832,20000.0,12,-211.91848862999998,0.0003985345,-0.4970304820065697,32.852118611335754,0.028930187225341797,8e-05,0.0028737386067708335,0.2,860,-0.0002997070829830288,17.51756477355957,,
324,1969,10665984,20000.0,13,-211.91848862999998,0.00045637848,-0.5080395725866159,29.875985026359558,0.05578005313873291,8e-05,0.0018157958984375,0.2,864,-0.00047461681000034633,11.56104850769043,0.0,12014.046875
344,1995,10715136,20000.0,14,-211.91848862999998,0.0007418354,-0.4965703673660755,102.42928302288055,0.012457847595214844,8e-05,0.004099527994791667,0.2,868,-0.0008427101965935435,39.32756042480469,,
368,2002,10764288,20000.0,15,-211.91848862999998,0.0007830397,-0.4621300135428707,110.62442489465077,0.02504342794418335,8e-05,0.004465738932291667,0.2,872,-0.0008842784530619004,20.559040069580078,13.6,10798.5078125
400,1961,10813440,20000.0,16,-211.91848862999998,0.00082544767,-0.43199536701043445,50.018075823783875,0.007105648517608643,8e-05,0.0015869140625,0.2,876,-0.0003286806895630434,30.939741134643555,,
435,1918,10862592,20000.0,17,-211.91848862999998,0.00039563933,-0.417802966820697,94.89632606506348,0.041384100914001465,8e-05,0.0023651123046875,0.2,880,-0.0004509767629012155,44.11994171142578,,
478,1850,10911744,20000.0,18,-211.91848862999998,0.00027960955,-0.38713132310658693,137.67565313975015,0.04486316442489624,8e-05,0.0011088053385416667,0.2,884,-0.00045052095568583656,60.09182357788086,43.8,11632.5078125
521,1789,10960896,20000.0,19,-211.91848862999998,0.000108019834,-0.39223052375018597,201.39076979955038,0.04663175344467163,8e-05,0.0012003580729166667,0.2,888,-0.0003247429631301202,125.85020446777344,,
554,1771,11010048,20000.0,20,-140.42222566,0.00039350358,-0.4123164024204016,387.0057373046875,0.03358036279678345,8e-05,0.0008494059244791666,0.2,892,-0.0003136084584790903,136.68836975097656,41.4,12924.9921875
570,1807,11059200,20000.0,21,-140.42222566,0.0006036531,-0.447810089836518,130.44651420911154,0.0834505558013916,8e-05,0.0010223388671875,0.2,896,-0.0003184254019288346,70.97453308105469,,
590,1830,11108352,20000.0,22,-140.42222566,0.0004200605,-0.4662369014695287,92.56829531987508,0.07591408491134644,8e-05,0.0013478597005208333,0.2,900,-0.0005325407570732447,43.380062103271484,39.6,14030.97265625
621,1817,11157504,20000.0,23,-140.42222566,0.00022483408,-0.4596361604829629,79.12787783145905,0.09708565473556519,8e-05,0.0018666585286458333,0.2,904,-0.0006557839636419279,28.81256675720215,,
972,1213,11206656,20000.0,24,-140.42222566,0.00022001658,-0.4414212505022685,148.7176424662272,0.044985175132751465,8e-05,0.0004781087239583333,0.2,908,-0.00035845622430012253,94.61644744873047,,
999,1229,11255808,20000.0,25,-140.42222566,0.0003619234,-0.4369880147278309,96.64525938034058,0.0773155689239502,8e-05,0.0008900960286458334,0.2,912,-0.0004262663630167178,50.018043518066406,26.3,8728.0234375
1030,1239,11304960,20000.0,26,-140.42222566,0.00026883007,-0.43269855094452697,119.19152228037517,0.08564174175262451,8e-05,0.0009104410807291666,0.2,916,-0.00039113873572205193,65.67250061035156,,
1066,1244,11354112,20000.0,27,-140.42222566,0.0003101517,-0.4272736757993698,116.69755109151204,0.06122589111328125,8e-05,0.0004933675130208334,0.2,920,-0.0003058406515871563,58.57487487792969,40.8,8198.23828125
1103,1246,11403264,20000.0,28,-140.42222566,0.00016828165,-0.4176698417092363,131.90195178985596,0.05629587173461914,8e-05,0.0006001790364583334,0.2,924,-0.0002082248914424175,65.57176971435547,,
